!
!coefev = [area(i+1) - area(i)]/[storage(i+1)-storage(i)]
!         added by Z.Q. Richard Chen 5/8/2017
!units:            af   acre      cfs     ft     [1/ft]
!
res_info
res_num         storage     area      discharge    elevation		coefev	
      74         115878      6806        99999          168.5		0.04286	
      75              0         0            0            180		0.06508	
      75          21098      1373        99999            202		0.05814	
      75          25759      1644        99999            205		0.06938	
      75          31438      2038        99999            208		0	
      75          32529      2038        99999          208.5		0.12435	
      75          33679      2181        99999            209		0.12435	
      76              0         0         1100              0		0.0228	
      76          20000       456         1740              0		0.0188	
      76          30000       644         2040              0		0.0191	
      76          40000       835         8000              0		0.0195	
      76          50000      1030         8000              0		0.01971	
      76          57000      1168         8000              0		0.01982	
      76          62500      1277         8000              0		0.02	
      76          63500      1297        27950              0		0.02	
      76          67000      1367        27950              0		0.02	
      76          70000      1427       121200              0		0.02	
      78              0         0            0            180		0.48333	
      78            600       290            0            186		0.12143	
      78           2000       460        99999            190		0.10833	
      78           4400       720        99999            194		0.09444	
      78           8000      1060        99999            198		0.08636	
      78          10200      1250        99999            200		0.08077	
      78          12800      1460        99999            202		0.07419	
      78          15900      1690        99999            204		0.06286	
      78          19400      1910        99999            206		0.055	
      78          23400      2130        99999            208		0.36304	
      78          28000      3800        99999            210		0.36304	
      79              0       123            0          212.5		0.29144	
      79           1472       552        99999          216.5		0.11706	
      79           4590       917        99999          220.5		0.07965	
      79           9700      1324        99999          224.5		0.06712	
      79          16300      1767        99999          228.5		0.0611	
      79          23550      2210        99999          232.5		0.05199	
      79          27820      2432        99999          234.5		0.04305	
      79          33000      2655        99999          236.5		0.03711	
      79          42000      2989        99999          239.5		0.03294	
      79          48740      3211        99999          241.5		0.03294	
      81              0         0            0              0		0.01752	
      81         100000      1752        99999            524		0.00788	
      81         400000      4116        99999            628		0.00622	
      81         700000      5983        99999            683		0.00564	
      81        1000000      7675        99999            725		0.00532	
      81        1300000      9270        99999            760		0.0051	
      81        1600000     10800        99999            791		0.00494	
      81        1900000     12283        99999            820		0.00483	
      81        2200000     13732        99999            847		0.00473	
      81        2500000     15151        99999            872		0.00473	
      90              0         0            0            408		0.09952	
      90          21000      2090        99999            484		0.03581	
      90          42000      2842        99999            509		0.0251	
      90          63000      3369        99999            527		0.01962	
      90          84000      3781        99999            544		0.01605	
      90         105000      4118        99999            558		0.01357	
      90         126000      4403        99999            572		0.01162	
      90         147000      4647        99999            584		0.01014	
      90         168000      4860        99999            596		0.0089	
      90         189000      5047        99999            608		0.0079	
      90         210000      5213        99999            619		0.0079	
      91              0         0            0              0		0.02329	
      91          41600       969        99999            508		0.0093	
      91          83200      1356        99999            543		0.0069	
      91         124800      1643        99999            571		0.00565	
      91         166400      1878        99999            595		0.00488	
      91         208000      2081        99999            618		0.0043	
      91         249600      2260        99999            639		0.00387	
      91         291200      2421        99999            659		0.00353	
      91         332800      2568        99999            679		0.00327	
      91         374400      2704        99999            697		0.00303	
      91         416000      2830        99999            716		0.00303	
      92              0         0            0              0		0.03548	
      92          32500      1153        99999            605		0.01788	
      92          65000      1734        99999            627		0.01418	
      92          97500      2195        99999            643		0.01222	
      92         130000      2592        99999            657		0.01095	
      92         162500      2948        99999            668		0.01003	
      92         195000      3274        99999            679		0.00932	
      92         227500      3577        99999            688		0.00874	
      92         260000      3861        99999            697		0.00831	
      92         292500      4131        99999            705		0.00791	
      92         325000      4388        99999            713		0.00791	
      93         190000      1648         3218           1700		0.00587	
      93         251000      2006         3251           1732		0.0049	
      93         400000      2736         3267           1801		0.00397	
      93         600000      3529        99999           1874		0.0036	
      93         700000      3889        99999           1902		0.00349	
      93         796000      4224        99999           1918		0.00344	
      93         896000      4568        99999           1948		0.00344	
      93         966000      4809        99999           1961		0	
      93         990000      4809        99999           1965		0	
      94              0         0        99999           3482		0.01585	!JenkinsoLake
      94          41000       650        99999           3482		0.01585	!JenkinsoLake
     293              0         0       999999            946		0.0125	
     293          66000       825       999999           2188		0.0125	
     291              0         0       999999           1525		0.06481	
     291           5555       360       999999           1610		0.06481	
     286              0         0       999999            135		0.02602	
     286         103000      2680       999999            320		0.02602	
     239              0         0        99999           4850		1.98807	
     239          0.503         1        99999           4851		1.98807	
     400              0         0        99999           3280		0.15	
     400            100        15        99999           3300		0.05	
     400            600        40        99999           3320		0.03889	
     400           1500        75        99999           3340		0.02	
     400           3500       115        99999           3360		0.018	
     400           6000       160        99999           3380		0.01425	
     400          10000       217        99999           3400		0.01178	
     400          14500       270        99999           3420		0.00846	
     400          21000       325        99999           3440		0.00923	
     400          27500       385        99999           3460		0.00722	
     400          36500       450        99999           3480		0.0075	
     400          46500       525        99999           3500		0.00838	
     400          57000       613        99999           3520		0.00838	
     401              0         0        99999           4890		0.026	
     401           5000       130        99999           4950		0.038	
     401          10000       320        99999           4965		0.028	
     401          20000       600        99999           4985		0.02	
     401          30000       800        99999           5000		0.02	
     401          40000      1000        99999           5010		0.02	
     401          50000      1200        99999           5019		0.016	
     401          60000      1360        99999           5026		0.015	
     401          70000      1510        99999           5035		0.009	
     401          80000      1600        99999           5041		0.005	
     401          90000      1650        99999           5047		0.005	
     422              0         0        99999            200		0.021	
     422          50000      1050        99999            200		0.008	
     422         100000      1450        99999            200		0.006	
     422         150000      1750        99999            200		0.006	
     422         200000      2050        99999            200		0.005	
     422         250000      2300        99999            200		0.005	
     422         300000      2550        99999            200		0.004	
     422         375000      2850        99999            200		0.0036	
     422         500000      3300        99999            200		0.0036	
     500              0        60            0            -50		0.33684	! Clear   Lake
     500           1900       700            0            -45		0.20694	
     500           9100      2190            0            -40		0.09664	
     500          24000      3630            0            -35		0.1156	
     500          49000      6520            0            -30		0.16236	
     500         104000     15450            0            -25		0.06935	
     500         197000     21900            0            -20		0.04694	
     500         321000     27720            0            -15		0.03916	
     500         476000     33790            0            -10		0.01733	
     500         652000     36840            0             -5		0.01489	
     500         842000     39670            0              0		0.01134	
     500         845970     39715           20            0.1		0.01134	
     500         849940     39760          120            0.2		0.00958	
     500         852550     39785          190           0.25		0.01026	
     500         855475     39815        99999            0.3		0.02259	
     500         857910     39870        99999            0.4		0.01128	
     500         861900     39915        99999            0.5		0.01128	
     500         865890     39960        99999            0.6		0.015	
     500         869890     40020        99999            0.7		0.015	
     500         873890     40020        99999            0.8		0.0137	!Area adjusted from 40020 to 40080 
     500         877905     40135        99999            0.9		0.0137	
     500         881920     40190        99999              1		0.01242	
     500         885945     40240        99999            1.1		0.01242	
     500         889970     40290        99999            1.2		0.01239	
     500         894005     40340        99999            1.3		0.01239	
     500         898040     40390        99999            1.4		0.01114	
     500         902080     40435        99999            1.5		0.01114	
     500         906120     40480        99999            1.6		0.0111	
     500         910175     40525        99999            1.7		0.0111	
     500         914230     40570        99999            1.8		0.01108	
     500         918290     40615        99999            1.9		0.01108	
     500         922350     40660        99999              2		0.01106	
     500         926420     40705        99999            2.1		0.01106	
     500         930490     40750        99999            2.2		0.00735	
     500         934570     40780        99999            2.3		0.00735	
     500         938650     40810        99999            2.4		0.01102	
     500         942735     40855        99999            2.5		0.01102	
     500         946820     40900        99999            2.6		0.00733	
     500         950910     40930        99999            2.7		0.00733	
     500         955000     40960        99999            2.8		0.01096	
     500         959105     41005        99999            2.9		0.01096	
     500         963210     41050        99999              3		0.00731	
     500         967315     41080        99999            3.1		0.00731	
     500         971420     41110        99999            3.2		0.00608	
     500         975535     41135        99999            3.3		0.00608	
     500         979650     41160        99999            3.4		0.00607	
     500         983770     41185        99999            3.5		0.00607	
     500         987890     41210        99999            3.6		0.00728	
     500         992010     41240        99999            3.7		0.00728	
     500         996130     41270        99999            3.8		0.00605	
     500        1000260     41295        99999            3.9		0.00605	
     500        1004390     41320        99999              4		0.0157	
     500        1008530     41385        99999            4.1		0.0157	
     500        1012670     41450        99999            4.2		0.01566	
     500        1016820     41515        99999            4.3		0.01566	
     500        1020970     41580        99999            4.4		0.01561	
     500        1025135     41645        99999            4.5		0.01561	
     500        1029300     41710        99999            4.6		0.01317	
     500        1033475     41765        99999            4.7		0.01317	
     500        1037650     41820        99999            4.8		0.01551	
     500        1041840     41885        99999            4.9		0.01551	
     500        1046030     41950        99999              5		0.01784	
     500        1050235     42025        99999            5.1		0.01784	
     500        1054440     42100        99999            5.2		0.01781	
     500        1058650     42175        99999            5.3		0.01777	
     500        1062870     42250        99999            5.4		0.01771	
     500        1067105     42325        99999            5.5		0.01771	
     500        1071340     42400        99999            5.6		0.01649	
     500        1075585     42470        99999            5.7		0.01649	
     500        1079830     42540        99999            5.8		0.01878	
     500        1084090     42620        99999            5.9		0.01878	
     500        1088350     42700        99999              6		0.01402	
     500        1092630     42760        99999            6.1		0.01402	
     500        1096910     42820        99999            6.2		0.01634	
     500        1101195     42890        99999            6.3		0.01634	
     500        1105480     42960        99999            6.4		0.01742	
     500        1109785     43035        99999            6.5		0.01742	
     500        1114090     43110        99999            6.6		0.01852	
     500        1118410     43190        99999            6.7		0.01852	
     500        1122730     43270        99999            6.8		0.01615	
     500        1127065     43340        99999            6.9		0.01615	
     500        1131400     43410        99999              7		0.02073	
     500        1135742     43500        99999            7.1		0.02069	
     500        1140091     43590        99999            7.2		0.01376	
     500        1144450     43650        99999            7.3		0.01376	
